Inactive,Delete,Internal ID,Number,Account,Type,Description,Currency,Foreign Currency Balance,Balance
Yes,No,984,58000,Cost of Revenue : Shipping & Fulfillment,Cost of Goods Sold,Shipping & Fulfillment,, ,10414802.39
No,No,337,58100,Cost of Revenue : Shipping & Fulfillment : Fulfillment,Cost of Goods Sold,Fulfillment,, ,4634234.61
No,No,338,58500,Cost of Revenue : Shipping & Fulfillment : Outbound Freight,Cost of Goods Sold,Outbound Freight,, ,5780567.78
Yes,No,58,60000,Operating Expenses,Expense,Operating Expenses,, ,76658880.14
Yes,No,857,60010,Operating Expenses : Gross Wages & Benefits,Expense,Gross Wages & Benefits,, ,25390021.86
No,No,351,60100,Operating Expenses : Gross Wages & Benefits : Gross Wages,Expense,Gross Wages,, ,20769214.34
No,No,352,60200,Operating Expenses : Gross Wages & Benefits : PTO Accruals,Expense,PTO Accruals,, ,-309562.1195
No,No,353,60300,Operating Expenses : Gross Wages & Benefits : Medical Insurance,Expense,Medical Insurance,, ,849988.5593
No,No,354,60310,Operating Expenses : Gross Wages & Benefits : Dental Insurance,Expense,Dental Insurance,, ,140130.55
No,No,355,60320,Operating Expenses : Gross Wages & Benefits : Vision Insurance,Expense,Vision Insurance,, ,18143.79
No,No,356,60330,Operating Expenses : Gross Wages & Benefits : Life & Disability Insurance,Expense,Life & Disability Insurance,, ,51520.55
No,No,357,60400,Operating Expenses : Gross Wages & Benefits : Bonus,Expense,Bonus,, ,1466877.792
No,No,359,60610,Operating Expenses : Gross Wages & Benefits : Stock Based Compensation - ISO,Expense,Stock Based Compensation - ISO,, ,336735.22
No,No,1000,60620,Operating Expenses : Gross Wages & Benefits : Stock Based Compensation - NQ,Expense,Stock Based Compensation - NQ,, ,0
No,No,360,60700,Operating Expenses : Gross Wages & Benefits : Payroll Fees,Expense,Payroll Fees,, ,36910.82725
No,No,361,60800,Operating Expenses : Gross Wages & Benefits : Employer Taxes,Expense,Employer Taxes,, ,1759821.432
No,No,362,60810,Operating Expenses : Gross Wages & Benefits : City Payroll Tax,Expense,City Payroll Tax,, ,270240.92
No,No,1075,60900,Operating Expenses : Temporary Labor,Expense,Temporary Labor,, ,244700.95
Yes,No,363,61000,Operating Expenses : Recruiting,Expense,Recruiting Expense,, ,591416.67
No,No,364,61010,Operating Expenses : Recruiting : Recruiting Expense,Expense,Relocation Expense,, ,517649.38
No,No,365,61020,Operating Expenses : Recruiting : Recruiting Fees,Expense,Recruiting Fees,, ,73767.29
No,No,860,61030,Operating Expenses : Recruiting : Relocation Expense,Expense,Relocation Expense,, ,0
No,No,861,61040,Operating Expenses : Recruiting : Employee Referral Fees,Expense,Employee Referral Fees,, ,0
Yes,No,859,62000,Operating Expenses : Travel & Entertainment,Expense,Travel & Entertainment,, ,1911892.546
No,No,366,62100,Operating Expenses : Travel & Entertainment : Airfare,Expense,Airfare,, ,949899.3664
No,No,367,62110,Operating Expenses : Travel & Entertainment : Lodging,Expense,Lodging,, ,518391.4827
No,No,368,62120,Operating Expenses : Travel & Entertainment : Car Rental,Expense,Car Rental,, ,23110.73
No,No,369,62130,Operating Expenses : Travel & Entertainment : Taxi,Expense,Taxi,, ,33087.36501
No,No,990,62138,Operating Expenses : Travel & Entertainment : Mileage and Car Allowance,Expense,Mileage and Car Allowance,, ,64179.79686
No,No,370,62140,Operating Expenses : Travel & Entertainment : Other Transportation,Expense,Other Transportation,, ,105879.1599
No,No,371,62150,Operating Expenses : Travel & Entertainment : Meals & Entertainment,Expense,Meals & Entertainment,, ,176227.0388
No,No,372,62900,Operating Expenses : Travel & Entertainment : Other Travel Expenses,Expense,Other Travel Expenses,, ,41117.60685
Yes,No,862,63000,Operating Expenses : Facilities & Office Expense,Expense,Facilities & Office Expense,, ,6084944.315
No,No,373,63100,Operating Expenses : Facilities & Office Expense : Office Lunches and Catering,Expense,Office Lunches and Catering,, ,667841.5707
No,No,374,63110,Operating Expenses : Facilities & Office Expense : Company / Department Events,Expense,Company / Department Events,, ,155332.84
No,No,375,63200,Operating Expenses : Facilities & Office Expense : Gifts and Awards,Expense,Gifts and Awards,, ,2409.2
No,No,999,63210,Operating Expenses : Facilities & Office Expense : Charitable Contributions,Expense,Charitable Contributions,, ,10000
No,No,376,64000,Operating Expenses : Facilities & Office Expense : Supplies,Expense,Supplies,, ,206637.1891
No,No,377,64100,Operating Expenses : Facilities & Office Expense : Dues & Subscriptions,Expense,Dues & Subscriptions,, ,127381.7601
No,No,378,64110,Operating Expenses : Facilities & Office Expense : Postage & Delivery,Expense,Postage & Delivery,, ,943829.6594
No,No,379,64120,Operating Expenses : Facilities & Office Expense : Stationery & Printing,Expense,Stationery & Printing,, ,22960.99
No,No,380,64200,Operating Expenses : Facilities & Office Expense : Credit Card Fees,Expense,Credit Card Fees,, ,2114698.04
No,No,381,64210,Operating Expenses : Facilities & Office Expense : Bank Fees,Expense,Bank Fees,, ,94896.72015
No,No,382,64500,Operating Expenses : Facilities & Office Expense : Rent or Lease,Expense,Rent or Lease,, ,1266604.25
No,No,383,64510,Operating Expenses : Facilities & Office Expense : Telephone & Internet Charges,Expense,Telephone & Internet Charges,, ,205441.3778
No,No,384,64520,Operating Expenses : Facilities & Office Expense : Utilities,Expense,Utilities,, ,28779.22
No,No,385,64530,Operating Expenses : Facilities & Office Expense : Office Furniture,Expense,Office Furniture,, ,188673.61
No,No,386,64590,Operating Expenses : Facilities & Office Expense : Moving Expense,Expense,Moving Expense,, ,17723.18
No,No,1106,64600,Operating Expenses : Facilities & Office Expense : Maintenance,Expense,Maintenance,, ,1148.38
No,No,387,64900,Operating Expenses : Facilities & Office Expense : Other Office Expenses,Expense,Other Office Expenses,, ,30586.32779
Yes,No,869,65000,Operating Expenses : Hardware & Software Expenses,Expense,Hardware & Software Expenses,, ,6495832.499
No,No,388,65100,Operating Expenses : Hardware & Software Expenses : Domain Name Registration,Expense,Domain Name Registration,, ,3397.64
No,No,389,65110,Operating Expenses : Hardware & Software Expenses : Hosting Services,Expense,Hosting Services,, ,1945837.09
No,No,390,65120,Operating Expenses : Hardware & Software Expenses : Internet Service Provider,Expense,Internet Service Provider,, ,30033.98
No,No,391,65200,Operating Expenses : Hardware & Software Expenses : Prototype Materials,Expense,Prototype Materials,, ,2495382.4
No,No,392,65300,Operating Expenses : Hardware & Software Expenses : Tooling Expenses,Expense,Tooling Expenses,, ,748335.81
No,No,393,65310,Operating Expenses : Hardware & Software Expenses : Product Testing,Expense,Product Testing,, ,3375
No,No,394,65400,Operating Expenses : Hardware & Software Expenses : Equipment Rental,Expense,Equipment Rental,, ,46209
No,No,395,65410,Operating Expenses : Hardware & Software Expenses : Expensed Hardware,Expense,Expensed Hardware,, ,220053.9195
No,No,396,65420,Operating Expenses : Hardware & Software Expenses : Expensed Lab & Test Equipment,Expense,Expensed Lab & Test Equipment,, ,205327.75
No,No,397,65430,Operating Expenses : Hardware & Software Expenses : Expensed Software,Expense,Expensed Software,, ,797879.91
Yes,No,400,66000,Operating Expenses : Marketing Expenses,Expense,Advertising,, ,13575835.98
No,No,401,66010,Operating Expenses : Marketing Expenses : Digital Marketing,Expense,Digital Marketing,, ,53792.88901
No,No,867,66050,Operating Expenses : Marketing Expenses : Media:Online,Expense,Media:Online,, ,4743016.459
No,No,1126,66060,Operating Expenses : Marketing Expenses : Media:Traditional,Expense,Media:Traditional,, ,31573.63
No,No,1127,66070,Operating Expenses : Marketing Expenses : Media:Management & Tools,Expense,Media:Management & Tools,, ,0
No,No,402,66100,Operating Expenses : Marketing Expenses : Market Research,Expense,Market Research,, ,129408.34
No,No,403,66110,Operating Expenses : Marketing Expenses : Marketing Tools,Expense,Marketing Tools,, ,103154.1212
No,No,404,66120,Operating Expenses : Marketing Expenses : Packaging,Expense,Packaging,, ,0
No,No,405,66130,Operating Expenses : Marketing Expenses : Branding & Promotions,Expense,Branding & Promotions,, ,189410.719
No,No,406,66140,Operating Expenses : Marketing Expenses : Public Relations,Expense,Public Relations,, ,1420659.724
No,No,407,66200,Operating Expenses : Marketing Expenses : Retail Channel Marketing,Expense,Retail Channel Marketing,, ,2209975.07
No,No,408,66220,Operating Expenses : Marketing Expenses : Product Samples,Expense,Product Samples,, ,971713.3155
No,No,409,66230,Operating Expenses : Marketing Expenses : Dummy Samples,Expense,Dummy Samples,, ,64806.21
No,No,410,66300,Operating Expenses : Marketing Expenses : Marketing Incentive (MDF),Expense,Marketing Incentive (MDF),, ,2546694.37
No,No,411,66400,Operating Expenses : Marketing Expenses : Tradeshows & Conferences,Expense,Tradeshows & Conferences,, ,801954.9163
No,No,412,66500,Operating Expenses : Marketing Expenses : Affiliate Programs,Expense,Affiliate Programs,, ,264283.24
No,No,1125,66600,Operating Expenses : Marketing Expenses : Influencers & Partnerships,Expense,Influencers & Partnerships,, ,45000
No,No,413,66900,Operating Expenses : Marketing Expenses : Other Marketing Expense,Expense,Other Marketing Expense,, ,392.98
Yes,No,414,67000,Operating Expenses : Consulting Expenses,Expense,Consulting,, ,17055873.26
No,No,868,67300,Operating Expenses : Consulting Expenses : General Consulting,Expense,General Consulting,, ,17055873.26
No,No,1107,67600,Operating Expenses : Professional Services,Expense,Professional Services,, ,7249.1
No,No,1108,67700,Operating Expenses : Professional Development,Expense,Professional Development,, ,0
No,No,858,68100,Operating Expenses : Sales Commissions,Expense,Sales Commissions,, ,1624439.39
No,No,863,68500,Operating Expenses : Bad Debt Expense,Expense,Bad Debt Expense,, ,3369733.07
No,No,398,68700,Operating Expenses : Depreciation,Expense,Depreciation,, ,652067.3558
No,No,399,68800,Operating Expenses : Amortization,Expense,Amortization,, ,89912.9
Yes,No,423,70000,Operating Expenses : Insurance Expenses,Expense,Insurance - Admin. Fees,, ,456960.07
No,No,866,70010,Operating Expenses : Insurance Expenses : Insurance - Admin Fees,Expense,Sales Returns,, ,8298
No,No,424,70100,Operating Expenses : Insurance Expenses : Insurance - Cargo,Expense,Insurance - Cargo,, ,46500.04
No,No,425,70200,Operating Expenses : Insurance Expenses : Insurance - Directors & Officers,Expense,Insurance - Directors & Officers,, ,0
No,No,426,70300,Operating Expenses : Insurance Expenses : Insurance - General Liability,Expense,Insurance - General Liability,, ,75575.68
No,No,427,70400,Operating Expenses : Insurance Expenses : Insurance - Workers Comp,Expense,Insurance - Workers Comp,, ,20643.79
No,No,428,70500,Operating Expenses : Insurance Expenses : Insurance - Credit,Expense,Insurance - Credit,, ,305942.56
Yes,No,865,71000,Operating Expenses : Legal Expenses,Expense,Legal Expenses,, ,1966049.77
No,No,429,71100,Operating Expenses : Legal Expenses : Legal - General Corporate,Expense,Legal - General Corporate,, ,706948.71
No,No,430,71200,Operating Expenses : Legal Expenses : Legal - Immigration,Expense,Legal - Immigration,, ,33565
No,No,431,71300,Operating Expenses : Legal Expenses : Legal - Patent Filing,Expense,Legal - Patent Filing,, ,279598.99
No,No,432,71400,Operating Expenses : Legal Expenses : Legal - Patent Litigation,Expense,Legal - Patent Litigation,, ,732046.56
No,No,433,71500,Operating Expenses : Legal Expenses : Legal - Trademark,Expense,Legal - Trademark,, ,61484.68
No,No,434,71600,Operating Expenses : Legal Expenses : Legal - Regulatory,Expense,Legal - Regulatory,, ,129885.08
No,No,435,71700,Operating Expenses : Legal Expenses : Legal - Commercial Contracts,Expense,Legal - Commercial Contracts,, ,22520.75
Yes,No,864,72000,Operating Expenses : Professional Fees,Expense,Professional Fees,, ,969552.6029
No,No,436,72100,Operating Expenses : Professional Fees : Audit Fees,Expense,Audit Fees,, ,0
No,No,437,72110,Operating Expenses : Professional Fees : 409A Valuation Fees,Expense,409A Valuation Fees,, ,4250
No,No,439,72130,Operating Expenses : Professional Fees : Certification Fees,Expense,Certification Fees,, ,20912.5
No,No,440,72140,Operating Expenses : Professional Fees : Tax Fees,Expense,Tax Fees,, ,3364.06
No,No,991,72800,Operating Expenses : Professional Fees : Accounting Fees,Expense,Accounting Fees,, ,177920.0129
No,No,441,72900,Operating Expenses : Professional Fees : Other Professional Fees,Expense,Other Professional Fees,, ,763106.03
Yes,No,442,79000,Operating Expenses : Allocations,Expense,Bad Debt Expense,, ,-3827602.2
No,No,443,79100,Operating Expenses : Allocations : Allocation In,Expense,Allocation In,, ,3877622.16
No,No,444,79200,Operating Expenses : Allocations : Allocation Out,Expense,Allocation Out,, ,-9596976.52
No,No,445,79500,Operating Expenses : Allocations : Inter Company Expense,Expense,Inter Company Expense,, ,1891752.16
Yes,No,446,80100,Taxes,Expense,Taxes,, ,20139003.4
No,No,447,80110,Taxes : Sales Tax,Expense,Sales Tax,, ,233635.39
No,No,449,80120,Taxes : State Business Tax,Expense,State Business Tax,, ,10493.38
No,No,450,80130,Taxes : City Busines Tax,Expense,City Busines Tax,, ,49653.73
No,No,448,80140,Taxes : Delaware Corporation Tax,Expense,Delaware Corporation Tax,, ,128285.05
No,No,452,80210,Taxes : Federal Income Tax,Expense,Federal Income Tax,, ,18231912.66
No,No,995,80220,Taxes : State Income Tax,Expense,State Income Tax,, ,1449093
No,No,996,80230,Taxes : Other Income Tax,Expense,Other Income Tax,, ,0
No,No,997,80240,Taxes : Foreign Income Tax,Expense,Foreign Income Tax,, ,35930.19194
Yes,No,453,80300,Other Income,Other Income,Other Income,, ,-20832.17
No,No,454,80310,Other Income : Interest Income,Other Income,Interest Income,, ,-20832.17
No,No,553,80390,Other Income : Other Income,Other Income,Other Income 1,, ,0
Yes,No,456,80600,Other Expense,Other Expense,Other Expense,, ,1287868.35
No,No,457,80610,Other Expense : Interest Expense,Other Expense,Interest Expense,, ,1168951.75
No,No,998,80620,Other Expense : Fines & Penalties,Other Expense,Fines & Penalties,, ,1824.29
No,No,1100,80680,Other Expense : Settlement Expense,Other Expense,Settlement Expense,, ,114792.5
No,No,459,80690,Other Expense : Other Expenses,Other Expense,Other Expenses,, ,2299.81
Yes,No,979,80800,Gain or Loss,Other Expense,Gain or Loss,, ,234919.7475
No,No,458,80810,Gain or Loss : Unrealized Gain or Loss,Other Expense,Exchange Gain or Loss,, ,197417.4075
No,No,851,80830,Gain or Loss : Rounding Gain/Loss,Other Expense,Rounding Gain/Loss,, ,-0.04
No,No,460,89999,Gain or Loss : Suspense,Other Expense,Suspense,, ,37502.38
No,No,856,80820,Realized Gain/Loss,Other Expense,Realized Gain/Loss,, ,102027.51
No,No,1006,99000,PST Expenses AB,Expense,,, ,0
No,No,1019,99001,PST Expenses BC,Expense,,, ,0
No,No,1024,99002,PST Expenses MB,Expense,,, ,0
No,No,1029,99003,PST Expenses NB,Expense,,, ,0
No,No,1034,99004,PST Expenses NL,Expense,,, ,0
No,No,1039,99005,PST Expenses NS,Expense,,, ,0
No,No,1044,99006,PST Expenses NT,Expense,,, ,0
No,No,1049,99007,PST Expenses NU,Expense,,, ,0
No,No,1054,99008,PST Expenses ON,Expense,,, ,0
No,No,1059,99009,PST Expenses PE,Expense,,, ,0
No,No,1064,99010,PST Expenses QC,Expense,,, ,0
No,No,1069,99011,PST Expenses SK,Expense,,, ,0
No,No,1074,99012,PST Expenses YT,Expense,,, ,0
No,No,1005,99013,PST Payable AB,Other Current Liability,,, ,0
No,No,1018,99014,PST Payable BC,Other Current Liability,,, ,0
No,No,1023,99015,PST Payable MB,Other Current Liability,,, ,0
No,No,1028,99016,PST Payable NB,Other Current Liability,,, ,0
No,No,1033,99017,PST Payable NL,Other Current Liability,,, ,0
No,No,1038,99018,PST Payable NS,Other Current Liability,,, ,0
No,No,1043,99019,PST Payable NT,Other Current Liability,,, ,0
No,No,1048,99020,PST Payable NU,Other Current Liability,,, ,0
No,No,1053,99021,PST Payable ON,Other Current Liability,,, ,0
No,No,1058,99022,PST Payable PE,Other Current Liability,,, ,0
No,No,1063,99023,PST Payable QC,Other Current Liability,,, ,0
No,No,1068,99024,PST Payable SK,Other Current Liability,,, ,0
No,No,1073,99025,PST Payable YT,Other Current Liability,,, ,0
No,No,132,99990,Deferred Expense,Deferred Expense,Deferred Expense,, ,0
No,No,133,99991,Accumulated Depreciation,Deferred Expense,Accumulated Depreciation,, ,0
No,No,131,99992,Work Orders,Non Posting,Work Orders,, ,
No,No,124,99993,Vendor Return Authorizations,Non Posting,Vendor Return Authorizations,, ,
No,No,111,99994,Unapproved Expense Reports,Non Posting,Unapproved Expense Reports,, ,
No,No,129,99995,Transfer Orders,Non Posting,Transfer Orders,, ,
No,No,123,99996,Sales Orders,Non Posting,Sales Orders,, ,
No,No,119,99997,Return Authorizations,Non Posting,Return Authorizations,, ,
No,No,114,99998,Purchase Orders,Non Posting,Purchase Orders,, ,
No,No,121,99999,Estimates,Non Posting,Estimates,, ,
